retyr,popID,Stock,fc,age4fc,age5fc,age4,age5,tot,age4diff,age4perc,age5diff,age5perc,totdiff,totperc,cyc
2018,5,Raft,48000,28800,19200,11136.4724957163,2538.88492130321,13675.3574170195,-17663.527504283702,-0.613316927232073,-16661.115078696792,-0.8677664103487912,-34324.6425829805,-0.7150967204787605,2
2019,5,Raft,52000,30680,21320,737.600948326838,933.986203099999,1671.58715142684,-29942.39905167316,-0.9759582480988644,-20386.013796900002,-0.9561920167401502,-50328.41284857316,-0.9678540932417916,3
2020,5,Raft,18000,17280,720,2292.13483146067,539.325842696629,2831.4606741573,-14987.86516853933,-0.8673533083645446,-180.67415730337098,-0.25093632958801526,-15168.5393258427,-0.8426966292134833,0
2009,6,Quesnel,3575000,3575000,0,198054.929623166,5986.00554171748,204040.935164884,-3376945.070376834,-0.9446000196858276,5986.00554171748,Inf,-3370959.064835116,-0.9429256125412911,1
2010,6,Quesnel,438000,416000,22000,598191.998828775,8017.48383970132,606209.482668476,182191.99882877502,0.4379615356460938,-13982.516160298681,-0.6355689163772128,168209.48266847595,0.3840399147682099,2
2011,6,Quesnel,299000,257140,41860,72938.0784084345,47840.6756470998,120778.754055534,-184201.92159156548,-0.7163487656201504,5980.675647099801,0.14287328349497852,-178221.245944466,-0.5960576787440335,3
2012,6,Quesnel,67000,16080,50920,727.310958394695,647.821339439684,1375.13229783438,-15352.689041605305,-0.954769219005305,-50272.17866056032,-0.9872776641901084,-65624.86770216562,-0.9794756373457555,0
2013,6,Quesnel,1218000,1218000,0,296451.187255077,6535.59675102592,302986.784006103,-921548.8127449229,-0.7566082206444359,6535.59675102592,Inf,-915013.21599389706,-0.751242377663298,1
2014,6,Quesnel,1524000,1386840,137160,2497652.0758886,21899.7702862367,2519551.84617483,1110812.0758886002,0.8009662800961901,-115260.2297137633,-0.840334133229537,995551.8461748301,0.6532492428968701,2
2015,6,Quesnel,367000,161480,205520,35995.143097115,30937.1770466065,66932.3201437214,-125484.856902885,-0.7770922523091714,-174582.8229533935,-0.8494687765346123,-300067.6798562786,-0.8176231058754185,3
2016,6,Quesnel,192000,188160,3840,358.208200874523,3921.58074972642,4279.78895060094,-187801.79179912547,-0.9980962574358284,81.58074972641998,0.02124498690792187,-187720.21104939905,-0.9777094325489534,0
2017,6,Quesnel,375000,375000,0,141418.248156452,2284.55035086979,143702.798507322,-233581.751843548,-0.6228846715827947,2284.55035086979,Inf,-231297.201492678,-0.616792537313808,1
2018,6,Quesnel,1148000,1056160,91840,2133830.55718768,5322.29029677438,2139152.84748446,1077670.5571876802,1.0203667599489472,-86517.70970322561,-0.9420482328312894,991152.8474844601,0.8633735605265331,2
2019,6,Quesnel,333000,206460,126540,5163.63778462594,40004.6131580332,45168.2509426592,-201296.36221537407,-0.9749896455263687,-86535.3868419668,-0.683857964611718,-287831.7490573408,-0.8643596067788012,3
2020,6,Quesnel,2000,1180,820,545.454545454545,454.545454545455,1000,-634.545454545455,-0.5377503852080127,-365.454545454545,-0.4456762749445671,-1000,-0.5,0
2009,7,Chilko,4175000,4133250,41750,262014.068463146,33231.0525855698,295245.121048716,-3871235.9315368542,-0.9366082215053176,-8518.9474144302,-0.20404664465701078,-3879754.878951284,-0.9292826057368345,1
2010,7,Chilko,1958000,1945000,13000,4429045.16896063,37747.5440536417,4466792.71301427,2484045.16896063,1.2771440457381131,24747.5440536417,1.9036572348955154,2508792.71301427,1.2813037349408938,2
2011,7,Chilko,1733000,1369070,363930,1056163.64112461,339298.947511047,1395462.58863566,-312906.3588753899,-0.2285539518617674,-24631.05248895299,-0.06768074214533837,-337537.41136434,-0.19477057782131563,3
2012,7,Chilko,562000,438360,123640,477074.424640494,16285.673130298,493360.097770792,38714.42464049399,0.08831650844167806,-107354.326869702,-0.868281517872064,-68639.90222920798,-0.12213505734734516,0
2013,7,Chilko,1829000,1700970,128030,1643617.13338596,45259.0225135265,1688876.15589949,-57352.86661403999,-0.03371774141462812,-82770.97748647351,-0.6464967389398852,-140123.84410051,-0.0766122712413942,1
2014,7,Chilko,2615000,2405800,209200,2666978.35750583,187156.375965322,2854134.73347115,261178.35750583,0.10856195756331782,-22043.62403467801,-0.10537105179100388,239134.73347115004,0.09144731681497134,2
2015,7,Chilko,2387000,2124430,262570,786305.255907853,78928.3684907503,865233.624398603,-1338124.7440921469,-0.6298747165555687,-183641.63150924968,-0.6994006608114015,-1521766.375601397,-0.6375225704237105,3
2016,7,Chilko,1002000,971940,30060,197620.565775117,85376.8607427242,282997.426517841,-774319.434224883,-0.7966741097443083,55316.860742724195,1.8402149282343379,-719002.5734821591,-0.7175674386049492,0
2017,7,Chilko,2142000,2120580,21420,435384.071029694,25175.2694132816,460559.340442975,-1685195.928970306,-0.794686325896833,3755.2694132815996,0.17531603236608775,-1681440.659557025,-0.784986302314204,1
2018,7,Chilko,2259000,2236410,22590,1560772.89797387,40614.9081257141,1601387.80609958,-675637.1020261301,-0.3021078881001829,18024.9081257141,0.7979153663441391,-657612.1939004201,-0.29110765555574153,2
2019,7,Chilko,2750000,2420000,330000,164947.253038256,84803.3234099316,249750.576448187,-2255052.746961744,-0.9318399780833653,-245196.67659006838,-0.7430202320911163,-2500249.423551813,-0.9091816085642955,3
2020,7,Chilko,256000,243200,12800,27172.9957805907,38333.3333333333,65506.3291139241,-216027.0042194093,-0.8882689318232291,25533.3333333333,1.994791666666664,-190493.6708860759,-0.744115901898734,0
2009,8,Seymour,18000,16920,1080,7820.36749001426,246.588164099549,8066.95565411381,-9099.63250998574,-0.5378033398336726,-833.411835900451,-0.771677625833751,-9933.04434588619,-0.5518357969936772,1
2010,8,Seymour,195000,195000,0,1063630.76058182,0,1063630.76058182,868630.76058182,4.454516720932411,0,NA,868630.76058182,4.454516720932411,2
2011,8,Seymour,66000,46200,19800,18055.9485170652,22105.8808947247,40161.8294117898,-28144.0514829348,-0.6091786035267273,2305.8808947247016,0.11645863104670211,-25838.170588210203,-0.3914874331547,3
2012,8,Seymour,8000,2000,6000,2173.00540701268,217.300540701268,2390.30594771395,173.00540701267983,0.08650270350633991,-5782.699459298732,-0.9637832432164554,-5609.69405228605,-0.7012117565357562,0
2013,8,Seymour,21000,19950,1050,43537.8511589984,182.166741251039,43720.0179002495,23587.851158998397,1.182348429022476,-867.833258748961,-0.8265078654752009,22720.0179002495,1.0819056142975951,1
2014,8,Seymour,1254000,1254000,0,268598.256411012,3428.91391162994,272027.170322642,-985401.743588988,-0.7858068130693684,3428.91391162994,Inf,-981972.829677358,-0.7830724319596156,2
2015,8,Seymour,140000,96600,43400,16740.752252036,4282.5180179627,21023.2702699987,-79859.247747964,-0.8267002872460041,-39117.4819820373,-0.9013244696321959,-118976.7297300013,-0.8498337837857236,3
2016,8,Seymour,400,400,0,675.613262911591,225.20442097053,900.817683882122,275.61326291159105,0.6890331572789776,225.20442097053,Inf,500.81768388212197,1.2520442097053048,0
