retyr,popID,p50,model,age,obs
2015,11,0.00417760876180675,RJ2,99,1732.69193796162
2015,13,0.393202069090647,RJ2,99,11421.0470585164
2015,17,0.0454298977717527,RJ2,99,86860.9213305073
2015,18,0.0412546406189283,RJ2,99,54653.0747730071
2014,6,5.05463497525674,RJC,99,2519551.84617483
2014,7,5.54471058016097,RJC,99,2854134.73347115
2014,11,0.016085835537558,RJC,99,18775.2272337147
2014,13,0.788607550171624,RJC,99,139095.134434445
2014,17,0.096058496122657,RJC,99,148702.975984513
2014,18,0.0238054089927359,RJC,99,67073.5586150595
2014,6,2.98432390018992,MRJ,99,2519551.84617483
2014,7,4.88344744998256,MRJ,99,2854134.73347115
2014,11,0.0209716982527457,MRJ,99,18775.2272337147
2014,13,0.594222973585034,MRJ,99,139095.134434445
2014,17,0.147394044149979,MRJ,99,148702.975984513
2014,18,0.0300637643030846,MRJ,99,67073.5586150595
2014,6,0.871836551773343,RJ1,99,2519551.84617483
2014,7,2.59710351075275,RJ1,99,2854134.73347115
2014,11,0.0105401135534273,RJ1,99,18775.2272337147
2014,13,0.425950958827267,RJ1,99,139095.134434445
2014,17,0.0628799236998023,RJ1,99,148702.975984513
2014,18,0.0364673392290718,RJ1,99,67073.5586150595
2014,6,1.44969407790647,RJ2,99,2519551.84617483
2014,7,2.5618056283078,RJ2,99,2854134.73347115
2014,11,0.0105401135534273,RJ2,99,18775.2272337147
2014,13,0.465556376189205,RJ2,99,139095.134434445
2014,17,0.160594105411406,RJ2,99,148702.975984513
2014,18,0.0369037521373005,RJ2,99,67073.5586150595
2013,6,NA,RJC,99,302986.784006103
2013,7,2.20312804738864,RJC,99,1688876.15589949
2013,11,0.0161846814257414,RJC,99,2586.32650279924
2013,13,0.358657921579792,RJC,99,251557.183159373
2013,17,0.0894959358970834,RJC,99,22302.4578485909
2013,18,0.0348904296017655,RJC,99,74704.8032580583
2013,6,NA,MRJ,99,302986.784006103
2013,7,2.84093113807318,MRJ,99,1688876.15589949
