yr,aflow,mflow,jflow,peak,apesst,maesst,jnesst,appsst,mapsst,jnpsst,jlpsst,pdo,stn2js,stn2ja,Pink,Chum,Sockeye,Salmon_Total,Shu_fry_wt,Shu_fry_len,Que_fry_wt,Que_fry_len,GOA.SST.Sum,GOA.SST.Win,GOA.SST.Ann,NPGO.Sum,NPGO.Win,NPGO.Ann,GOA.Chl.Sum,GOA.Chl.Sum.lag1
2005,2.775333333,5.497096774,8.272,10.8,9.75,12.98,16.12,7.87,8.59,9.42,10.26,-0.078,30.30333333,30.185,549,131,85,764,NA,NA,2.66,62,10.35040912,5.869768698,8.054969011,1.300547067,-0.23496423,0.59326066,0.29,0.95
2006,1.103933333,5.986774194,7.195,10.2,9.34,9.92,17.09,7.31,8.17,8.63,9.45,-0.828,31.26833333,31.3175,328,118,75,521,2.72,63,3.08,65,10.09230372,5.654556428,7.733268921,1.616592167,0.716212183,1.454986408,0.95,0.7
2007,1.9589,4.665806452,6.609333333,7.49,9.63,13.12,16.64,7.16,6.59,9.24,9.55,-1.332,30.868,31.14,657,145,75,878,NA,NA,NA,NA,11.19401353,5.886989599,8.200833753,0.549215387,0.693034827,0.736277515,0.7,1.1
2008,1.785,3.43483871,5.4,5.95,9.62,12.11,14.56,8.47,8.99,9.55,10.06,0.354,30.46333333,30.515,407,132,105,644,NA,NA,NA,NA,10.62724478,6.086274188,8.249976866,1.153911967,1.655652767,1.370142293,1.1,1.08
2009,1.342166667,5.660774194,9.001966667,9.947,8.3,14.09,14.49,7.88,8.4,9.17,9.52,-0.894,31.105,31.065,654,124,83,860,NA,NA,4.88,75,10.84934381,5.840908632,8.095094793,1.061535733,0.550170873,0.857256779,1.08,0.3
2010,2.644766667,5.747064516,9.4336,11.725,9.09,12.26,13.67,7.81,8.44,9.08,9.23,-1.48,30.30166667,30.29,436,136,79,650,2.26,60,3.78,69,10.03380534,5.847410214,7.846198371,1.843145867,0.60911619,1.476880791,0.3,0.63
2011,2.558733333,7.091322581,7.540758621,10.077,10.03,12.09,16.06,7.83,9.15,9.65,10.44,-0.452,30.48333333,30.46,578,147,74,798,3.18,67,3.11,65,12.08237044,5.745401553,9.038339609,0.57937884,1.211311633,0.343828793,0.63,0.95
2012,1.984433333,6.681612903,7.286666667,9.97,9.18,13.02,16.1,8.49,9.88,9.84,10.36,0.226,30.715,30.645,356,144,106,606,NA,NA,NA,NA,12.52713061,7.865126332,9.899606301,-0.365014323,-0.703257917,-0.249174042,0.95,0.54
2013,3.719,5.23716129,6.2078,7.95,11.07,15.07,17.57,10.33,10.56,10.48,11.61,2.196,31.44833333,31.605,549,157,109,816,NA,NA,4.03,70,12.39998832,7.317394472,9.704933551,-1.5501161,-0.72592212,-1.394540915,0.54,0.52
2014,3.799666667,5.158064516,4.919666667,6.03,11.38,14.4,16.46,10.03,10.72,11.37,11.64,1.51,31.265,31.2575,432,150,104,686,2.51,61,2.69,63,12.29373443,6.831855959,9.446305416,-0.662614577,0.021058613,-0.18571019,0.52,0.96
2015,2.333517151,5.415619814,7.787249835,9.710555556,9.18,12.18,15.15,9.33,10.1,11.22,11.46,1.052,31.06,30.9675,513,123,101,737,NA,NA,NA,NA,11.3178186,6.200830002,8.643846718,-0.42353941,-0.82594484,-0.86259431,0.96,0.59
2016,1.81430391,9.10529229,6.152412799,10.86215278,9.41,14.32,15.01,8.62,9.65,10.95,11.6,0.334,30.47333333,30.55,701,140,109,950,NA,NA,NA,60,11.60917474,6.568554067,9.414414692,-1.87702,-2.134316,-1.906312075,0.59,0.72
2017,2.639,4.686,5.367,7.178,9.62,13.13,16.02,10.03,9.92,11.15,12.38,0.392,30.71333333,30.7525,639,111,104,854,NA,NA,1.4,74.94,12.84018485,7.334933777,10.03848403,-2.064408633,-1.50421278,-2.306042295,0.72,0.69
2018,2.292,6.67,8.642,10.614,9.86,13.59,15.19,8.61,11,10.96,12.37,-0.122,30.115,30.065,315,92,87,494,2.29,59,3.96,70.3,12.27681224,7.455991157,9.606756467,-1.34627295,-2.227708333,-1.592029514,0.69,1.52
