"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Quesnel",2.03880927500295,2.03880927500295,48.3345310798771,3.0788015384173,50,50,48,48,49,50,0.961538461538462,0.961538461538462,0.923076923076923,0.923076923076923
"Chilko",0.701689721617634,-0.180796591023925,0.78683783918153,1.01922293297033,1,24,3,2,7.5,1,0.02,0.48,0.06,0.04
"Chilko",0.711625441942718,-0.167539938030152,0.851232189913054,1.03282930928213,2,23,4,3,8,2,0.04,0.46,0.08,0.06
"Chilko",0.759131534738419,0.12133577963899,1.34016403578649,0.94857525855629,3,19,9,1,8,3,0.06,0.38,0.18,0.02
"Chilko",0.841682641811438,0.0510004410641973,1.29374377623145,1.1349400380498,6,11,8,8,8.25,4,0.12,0.22,0.16,0.16
"Chilko",0.832773785826458,-0.0697181358686479,1.41991419328432,1.08280921981751,5,16,11,5,9.25,5,0.1,0.32,0.22,0.1
"Chilko",0.842942174566351,0.0745382800033299,1.35966197510982,1.13646753246483,7,17,10,9,10.75,6,0.14,0.34,0.2,0.18
"Chilko",0.920271300519323,-0.000210286186794186,1.79399401529444,1.15520813095154,16,1,18,11,11.5,7,0.32,0.02,0.36,0.22
"Chilko",0.806027672060128,-0.0320525427384324,0.995712237534325,1.27977256390758,4,8,6,31,12.25,8,0.08,0.16,0.12,0.62
"Chilko",0.899335033895586,-0.184380884151108,0.786091253429403,1.15741297822618,12,25,2,12,12.75,10,0.24,0.5,0.04,0.24
"Chilko",0.846375277537989,0.20704927924622,1.7111268711297,1.07408112600382,8,27,16,4,13.75,11,0.16,0.54,0.32,0.08
"Chilko",0.911965207022359,-0.0588291844371842,1.54268666770234,1.18069191694578,14,14,13,14,13.75,12,0.28,0.28,0.26,0.28
"Chilko",0.860636638284112,0.136007470830666,1.66777467726032,1.15260016332761,11,20,15,10,14,13,0.22,0.4,0.3,0.2
"Chilko",0.848856171563848,0.214287941158835,1.71369288701993,1.12173319173988,9,28,17,6,15,15,0.18,0.56,0.34,0.12
"Chilko",0.94633696873431,-0.0421503786136578,1.4329980749602,1.22753376731986,19,10,12,19,15,16,0.38,0.2,0.24,0.38
"Chilko",0.954995393162591,0.0222264679062286,1.90263748105702,1.24104937863344,23,5,23,24,18.75,18,0.46,0.1,0.46,0.48
"Chilko",0.917807674390078,0.292107816486677,1.96312329515447,1.16306759286844,15,31,24,13,20.75,19,0.3,0.62,0.48,0.26
